Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Larsen K.R., Michie S., Hekler E.B., Gibson B., Spruijt-Metz D., Ahern D., Cole-Lewis H., Ellis R.J.B., Hesse B., Moser R.P., Yi J.","Behavior change interventions: the potential of ontologies for advancing science and practice",2017,"Journal of Behavioral Medicine","40","1",,"6","22",,,10.1007/s10865-016-9768-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982806169&doi=10.1007%2fs10865-016-9768-0&partnerID=40&md5=3b3fed9491a986d74a4ac465eae4c8b3","Leeds School of Business, University of Colorado, Boulder, CO, United States; Centre for Behaviour Change, University College London, London, United Kingdom; School of Nutrition and Health Promotion, Arizona State University, Phoenix, AZ, United States; Department of Biomedical Informatics, University of Utah, Salt Lake City, UT, United States; Department of Psychology, Center for Economic and Social Research, University of Southern California, Los Angeles, CA, United States; Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, United States; Johnson and Johnson Health and Wellness Solutions, New Brunswick, NJ, United States; Indiana University School of Nursing, Indianapolis, IN, United States; National Cancer Institute, National Institutes of Health, Bethesda, MD, United States; Behavioral Research Program, National Cancer Institute, Rockville, MD, United States; Clinical Research Division, Fred Hutch, Seattle, WA, United States","Larsen, K.R., Leeds School of Business, University of Colorado, Boulder, CO, United States; Michie, S., Centre for Behaviour Change, University College London, London, United Kingdom; Hekler, E.B., School of Nutrition and Health Promotion, Arizona State University, Phoenix, AZ, United States; Gibson, B., Department of Biomedical Informatics, University of Utah, Salt Lake City, UT, United States; Spruijt-Metz, D., Department of Psychology, Center for Economic and Social Research, University of Southern California, Los Angeles, CA, United States; Ahern, D., Brigham and Women’s Hospital, Harvard Medical School, Boston, MA, United States; Cole-Lewis, H., Johnson and Johnson Health and Wellness Solutions, New Brunswick, NJ, United States; Ellis, R.J.B., Indiana University School of Nursing, Indianapolis, IN, United States; Hesse, B., National Cancer Institute, National Institutes of Health, Bethesda, MD, United States; Moser, R.P., Behavioral Research Program, National Cancer Institute, Rockville, MD, United States; Yi, J., Clinical Research Division, Fred Hutch, Seattle, WA, United States","A central goal of behavioral medicine is the creation of evidence-based interventions for promoting behavior change. Scientific knowledge about behavior change could be more effectively accumulated using “ontologies.” In information science, an ontology is a systematic method for articulating a “controlled vocabulary” of agreed-upon terms and their inter-relationships. It involves three core elements: (1) a controlled vocabulary specifying and defining existing classes; (2) specification of the inter-relationships between classes; and (3) codification in a computer-readable format to enable knowledge generation, organization, reuse, integration, and analysis. This paper introduces ontologies, provides a review of current efforts to create ontologies related to behavior change interventions and suggests future work. This paper was written by behavioral medicine and information science experts and was developed in partnership between the Society of Behavioral Medicine’s Technology Special Interest Group (SIG) and the Theories and Techniques of Behavior Change Interventions SIG. In recent years significant progress has been made in the foundational work needed to develop ontologies of behavior change. Ontologies of behavior change could facilitate a transformation of behavioral science from a field in which data from different experiments are siloed into one in which data across experiments could be compared and/or integrated. This could facilitate new approaches to hypothesis generation and knowledge discovery in behavioral science. © 2016, Springer Science+Business Media New York (outside the USA).","Behavior change interventions; Behaviors; Controlled vocabularies; Mechanisms of action; Ontologies; Taxonomies",Article,Scopus,2-s2.0-84982806169
"Poldrack R.A., Baker C.I., Durnez J., Gorgolewski K.J., Matthews P.M., Munafò M.R., Nichols T.E., Poline J.-B., Vul E., Yarkoni T.","Scanning the horizon: Towards transparent and reproducible neuroimaging research",2017,"Nature Reviews Neuroscience","18","2",,"115","126",,6,10.1038/nrn.2016.167,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008419692&doi=10.1038%2fnrn.2016.167&partnerID=40&md5=7b5bd135fb7cadfc712aee0e4fe194d0","Department of Psychology and Stanford Center for Reproducible Neuroscience, Stanford University, Stanford, CA, United States; Laboratory of Brain and Cognition, National Institute of Mental Health, US National Institutes of HealthMD, United States; Institut National de Recherche en Informatique et en Automatique (INRIA) Parietal, Neurospin, Building 145, Gif sur Yvette, France; Division of Brain Sciences, Department of Medicine, Imperial College Hammersmith Hospital, London, United Kingdom; Medical Research Council (MRC) Integrative Epidemiology Unit at the University of Bristol, Bristol, United Kingdom; UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, United Kingdom; Department of Statistics and WMG, University of Warwick, Coventry, United Kingdom; Helen Wills Neuroscience Institute, Henry H. Wheeler Jr. Brain Imaging Center, University of California, 132 Barker Hall 210S, Berkeley, CA, United States; Department of Psychology, University of California, San Diego, CA, United States; Department of Psychology, University of Texas at Austin, Austin, Texas, United States","Poldrack, R.A., Department of Psychology and Stanford Center for Reproducible Neuroscience, Stanford University, Stanford, CA, United States; Baker, C.I., Laboratory of Brain and Cognition, National Institute of Mental Health, US National Institutes of HealthMD, United States; Durnez, J., Department of Psychology and Stanford Center for Reproducible Neuroscience, Stanford University, Stanford, CA, United States, Institut National de Recherche en Informatique et en Automatique (INRIA) Parietal, Neurospin, Building 145, Gif sur Yvette, France; Gorgolewski, K.J., Department of Psychology and Stanford Center for Reproducible Neuroscience, Stanford University, Stanford, CA, United States; Matthews, P.M., Division of Brain Sciences, Department of Medicine, Imperial College Hammersmith Hospital, London, United Kingdom; Munafò, M.R., Medical Research Council (MRC) Integrative Epidemiology Unit at the University of Bristol, Bristol, United Kingdom, UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol, United Kingdom; Nichols, T.E., Department of Statistics and WMG, University of Warwick, Coventry, United Kingdom; Poline, J.-B., Helen Wills Neuroscience Institute, Henry H. Wheeler Jr. Brain Imaging Center, University of California, 132 Barker Hall 210S, Berkeley, CA, United States; Vul, E., Department of Psychology, University of California, San Diego, CA, United States; Yarkoni, T., Department of Psychology, University of Texas at Austin, Austin, Texas, United States","Functional neuroimaging techniques have transformed our ability to probe the neurobiological basis of behaviour and are increasingly being applied by the wider neuroscience community. However, concerns have recently been raised that the conclusions that are drawn from some human neuroimaging studies are either spurious or not generalizable. Problems such as low statistical power, flexibility in data analysis, software errors and a lack of direct replication apply to many fields, but perhaps particularly to functional MRI. Here, we discuss these problems, outline current and suggested best practices, and describe how we think the field should evolve to produce the most meaningful and reliable answers to neuroscientific questions. © 2017 Macmillan Publishers Limited, part of Springer Nature.All rights reserved.",,Article,Scopus,2-s2.0-85008419692
"Antonakis J.","On doing better science: From thrill of discovery to policy implications",2017,"Leadership Quarterly","28","1",,"5","21",,1,10.1016/j.leaqua.2017.01.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010931835&doi=10.1016%2fj.leaqua.2017.01.006&partnerID=40&md5=c15af9806e2b43d762e925b791e03a53","Faculty of Business and Economics, University of Lausanne, Switzerland","Antonakis, J., Faculty of Business and Economics, University of Lausanne, Switzerland","In this position paper, I argue that the main purpose of research is to discover and report on phenomena in a truthful manner. Once uncovered, these phenomena can have important implications for society. The utility of research depends on whether it makes a contribution because it is original or can add to cumulative research efforts, is rigorously and reliably done, and is able to inform basic or applied research and later policy. However, five serious “diseases” stifle the production of useful research. These diseases include: significosis, an inordinate focus on statistically significant results; neophilia, an excessive appreciation for novelty; theorrhea, a mania for new theory; arigorium, a deficiency of rigor in theoretical and empirical work; and finally, disjunctivitis, a proclivity to produce large quantities of redundant, trivial, and incoherent works. I surmise that these diseases have caused immense harm to science and have cast doubt on the role of science in society. I discuss what publication gatekeepers should do to eradicate these diseases, to stimulate the undertaking of more useful and impactful research, and to provide the needed incentives to better align the interests of researchers with those of the greater good. Finally, I highlight where technical improvements are needed to enhance research quality, and call on deeper reflection, transparency, and honesty in how we do research. © 2017 Elsevier Inc.",,Article,Scopus,2-s2.0-85010931835
"White A., Malt B.C., Storms G.","Convergence in the bilingual lexicon: A pre-registered replication of previous studies",2017,"Frontiers in Psychology","7","JAN", 2081,"","",,,10.3389/fpsyg.2016.02081,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011964916&doi=10.3389%2ffpsyg.2016.02081&partnerID=40&md5=0caa42b0ec105f9da265b37d26bc308e","Department of Experimental Psychology, KU Leuven, Leuven, Belgium; Department of Psychology, Lehigh University, Bethlehem, PA, United States","White, A., Department of Experimental Psychology, KU Leuven, Leuven, Belgium; Malt, B.C., Department of Psychology, Lehigh University, Bethlehem, PA, United States; Storms, G., Department of Experimental Psychology, KU Leuven, Leuven, Belgium","Naming patterns of bilinguals have been found to converge and form a new intermediate language system from elements of both the bilinguals' languages. This converged naming pattern differs from the monolingual naming patterns of both a bilingual's languages. We conducted a pre-registered replication study of experiments addressing the question whether there is a convergence between a bilingual's both lexicons. The replication used an enlarged set of stimuli of common household containers, providing generalizability, and more reliable representations of the semantic domain. Both an analysis at the group-level and at the individual level of the correlations between naming patterns reject the two-pattern hypothesis that poses that bilinguals use two monolingual-like naming patterns, one for each of their two languages. However, the results of the original study and the replication comply with the one-pattern hypothesis, which poses that bilinguals converge the naming patterns of their two languages and form a compromise. Since this convergence is only partial the naming pattern in bilinguals corresponds to a moderate version of the one-pattern hypothesis. These findings are further confirmed by a representation of the semantic domain in a multidimensional space and the finding of shorter distances between bilingual category centers than monolingual category centers in this multidimensional space both in the original and in the replication study. © 2017 White, Malt and Storms.","Bilingual lexicon; Bilingualism; Lexical organization; Naming; Semantic convergence",Article,Scopus,2-s2.0-85011964916
"Nosek B.A., Errington T.M.","Making sense of replications",2017,"eLife","6",, e23383,"","",,4,10.7554/eLife.23383,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010695261&doi=10.7554%2feLife.23383&partnerID=40&md5=e0db9bf32664ab2ddbdd9a2809943d60","Center for Open Science Charlottesville, University of Virginia, Charlottesville, United States; Center for Open Science, Charlottesville, United States","Nosek, B.A., Center for Open Science Charlottesville, University of Virginia, Charlottesville, United States; Errington, T.M., Center for Open Science, Charlottesville, United States","The first results from the Reproducibility Project: Cancer Biology suggest that there is scope for improving reproducibility in pre-clinical cancer research. © 2017, eLife Sciences Publications Ltd. All rights reserved.",,Article,Scopus,2-s2.0-85010695261
"Marsman M., Schönbrodt F.D., Morey R.D., Yao Y., Gelman A., Wagenmakers E.-J.","A Bayesian bird's eye view of 'Replications of important results in social psychology'",2017,"Royal Society Open Science","4","1", 160426,"","",,,10.1098/rsos.160426,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010341345&doi=10.1098%2frsos.160426&partnerID=40&md5=476a3deecefcee3a145bdea94e99cf93","Department of Psychology, University of Amsterdam, Amsterdam, Netherlands; Department of Psychology, Ludwig-Maximilians-Universität München, Munchen, Germany; School of Psychology, Cardiff University, Cardiff, United Kingdom; Department of Statistics, Columbia University, New York, NY, United States","Marsman, M., Department of Psychology, University of Amsterdam, Amsterdam, Netherlands; Schönbrodt, F.D., Department of Psychology, Ludwig-Maximilians-Universität München, Munchen, Germany; Morey, R.D., School of Psychology, Cardiff University, Cardiff, United Kingdom; Yao, Y., Department of Statistics, Columbia University, New York, NY, United States; Gelman, A., Department of Statistics, Columbia University, New York, NY, United States; Wagenmakers, E.-J., Department of Psychology, University of Amsterdam, Amsterdam, Netherlands","We applied three Bayesian methods to reanalyse the preregistered contributions to the Social Psychology special issue 'Replications of Important Results in Social Psychology' (Nosek & Lakens. 2014 Registered reports: a method to increase the credibility of published results. Soc. Psychol. 45, 137–141. (doi:10.1027/1864-9335/a000192)). First, individualexperiment Bayesian parameter estimation revealed that for directed effect size measures, only three out of 44 central 95% credible intervals did not overlap with zero and fell in the expected direction. For undirected effect size measures, only four out of 59 credible intervals contained values greater than 0.10 (10% of variance explained) and only 19 intervals contained values larger than 0.05. Second, a Bayesian randomeffects meta-analysis for all 38 t-tests showed that only one out of the 38 hierarchically estimated credible intervals did not overlap with zero and fell in the expected direction. Third, a Bayes factor hypothesis test was used to quantify the evidence for the null hypothesis against a default one-sided alternative. Only seven out of 60 Bayes factors indicated non-anecdotal support in favour of the alternative hypothesis (BF10 >3), whereas 51 Bayes factors indicated at least some support for the null hypothesis.We hope that future analyses of replication success will embrace a more inclusive statistical approach by adopting a wider range of complementary techniques. © 2017 The Authors.","Bayes factor; Credible interval; Evidence; Preregistration; Reproducibility",Article,Scopus,2-s2.0-85010341345
"Perry J.L.","Practicing What We Preach! Public Administration Review Promotes Transparency and Openness",2017,"Public Administration Review","77","1",,"5","6",,,10.1111/puar.12705,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007350843&doi=10.1111%2fpuar.12705&partnerID=40&md5=e49a1e4e0e890c9dbced341b5d2f58cd","Indiana University, Bloomington, United States","Perry, J.L., Indiana University, Bloomington, United States",[No abstract available],,Editorial,Scopus,2-s2.0-85007350843
"Karcher S., Pagé C.","Workshop report: CAQDAS projects and digital repositories' best practices",2017,"D-Lib Magazine","23","3-4", 6,"","",,,10.1045/march2017-karcher,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016589834&doi=10.1045%2fmarch2017-karcher&partnerID=40&md5=71f3408ccd75688e015bf051d94623da","Syracuse University, United States","Karcher, S., Syracuse University, United States; Pagé, C., Syracuse University, United States","An increasing number of qualitative researchers are relying on dedicated software for the analysis of qualitative data, often referred to as CAQDAS - computer-assisted qualitative data analysis - applications. These applications allow users to annotate, analyze, and visualize qualitative data. To understand and work towards solutions to the challenges of sharing CAQDAS data, the Qualitative Data Repository (QDR) convoked a one-day workshop with CAQDAS developers, practitioners, and repository specialists, on October 28, 2016. This report describes the workshop sessions, participants' areas of interest, and future challenges. © 2017 Sebastian Karcher and Christiane Pag�.","CAQDAS; Computer-assisted qualitative data analysis software; Data sharing; Digital repositories",Article,Scopus,2-s2.0-85016589834
"Vázquez X.H.","Gentle tailwinds allow BRQ to take inspiration from Bob Dylan",2017,"BRQ Business Research Quarterly","20","1",,"1","3",,,10.1016/j.brq.2017.01.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010755886&doi=10.1016%2fj.brq.2017.01.002&partnerID=40&md5=e118ffc29b46beeb3778757a5ee94e52",,"Vázquez, X.H.",[No abstract available],,Editorial,Scopus,2-s2.0-85010755886
"Briner W., Kirwan J.","Experimental toxicology: Issues of statistics, experimental design, and replication",2017,"NeuroToxicology","58",,,"137","142",,,10.1016/j.neuro.2016.11.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007407561&doi=10.1016%2fj.neuro.2016.11.002&partnerID=40&md5=c2d7794808f612528bd85c31f4deddd9","Ashford University, College of Health, Human Services, Science, 8620 Spectrum Center Blvd, San Diego, CA, United States","Briner, W., Ashford University, College of Health, Human Services, Science, 8620 Spectrum Center Blvd, San Diego, CA, United States; Kirwan, J., Ashford University, College of Health, Human Services, Science, 8620 Spectrum Center Blvd, San Diego, CA, United States","The difficulty of replicating experiments has drawn considerable attention. Issues with replication occur for a variety of reasons ranging from experimental design to laboratory errors to inappropriate statistical analysis. Here we review a variety of guidelines for statistical analysis, design, and execution of experiments in toxicology. In general, replication can be improved by using hypothesis driven experiments with adequate sample sizes, randomization, and blind data collection techniques. © 2016","Experimentation; Replication; Statistics; Toxicology",Review,Scopus,2-s2.0-85007407561
"Eickhoff S.B., Laird A.R., Fox P.M., Lancaster J.L., Fox P.T.","Implementation errors in the GingerALE Software: Description and recommendations",2017,"Human Brain Mapping","38","1",,"7","11",,4,10.1002/hbm.23342,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994673188&doi=10.1002%2fhbm.23342&partnerID=40&md5=3bcc3cb4cca0422c0c3e5be93a075585","Institute of Neuroscience and Medicine (INM-1), Research Center Jülich, Germany; Institute of Clinical Neuroscience and Medical Psychology, Heinrich-Heine University Düsseldorf, Germany; Department of Physics, Florida International University, Miami, FL, United States; Research Imaging Institute, University of Texas Health Science Center, San Antonio, TX, United States; Department of Radiology, University of Texas Health Science Center, San Antonio, FL, United States; South Texas Veterans Health Care System, San Antonio, TX, United States","Eickhoff, S.B., Institute of Neuroscience and Medicine (INM-1), Research Center Jülich, Germany, Institute of Clinical Neuroscience and Medical Psychology, Heinrich-Heine University Düsseldorf, Germany; Laird, A.R., Department of Physics, Florida International University, Miami, FL, United States; Fox, P.M., Research Imaging Institute, University of Texas Health Science Center, San Antonio, TX, United States; Lancaster, J.L., Research Imaging Institute, University of Texas Health Science Center, San Antonio, TX, United States, Department of Radiology, University of Texas Health Science Center, San Antonio, FL, United States; Fox, P.T., Research Imaging Institute, University of Texas Health Science Center, San Antonio, TX, United States, Department of Radiology, University of Texas Health Science Center, San Antonio, FL, United States, South Texas Veterans Health Care System, San Antonio, TX, United States","Neuroscience imaging is a burgeoning, highly sophisticated field the growth of which has been fostered by grant-funded, freely distributed software libraries that perform voxel-wise analyses in anatomically standardized three-dimensional space on multi-subject, whole-brain, primary datasets. Despite the ongoing advances made using these non-commercial computational tools, the replicability of individual studies is an acknowledged limitation. Coordinate-based meta-analysis offers a practical solution to this limitation and, consequently, plays an important role in filtering and consolidating the enormous corpus of functional and structural neuroimaging results reported in the peer-reviewed literature. In both primary data and meta-analytic neuroimaging analyses, correction for multiple comparisons is a complex but critical step for ensuring statistical rigor. Reports of errors in multiple-comparison corrections in primary-data analyses have recently appeared. Here, we report two such errors in GingerALE, a widely used, US National Institutes of Health (NIH)-funded, freely distributed software package for coordinate-based meta-analysis. These errors have given rise to published reports with more liberal statistical inferences than were specified by the authors. The intent of this technical report is threefold. First, we inform authors who used GingerALE of these errors so that they can take appropriate actions including re-analyses and corrective publications. Second, we seek to exemplify and promote an open approach to error management. Third, we discuss the implications of these and similar errors in a scientific environment dependent on third-party software. Hum Brain Mapp 38:7–11, 2017. © 2016 Wiley Periodicals, Inc. © 2016 Wiley Periodicals, Inc.","cluster inference; false positives; fMRI; meta-analysis; statistics",Article,Scopus,2-s2.0-84994673188
"Nüst D., Konkol M., Schutzeichel M., Pebesma E., Kray C., Przibytzin H., Lorenz J.","Opening the publication process with executable research compendia",2017,"D-Lib Magazine","23","1-2",,"","",1,,10.1045/january2017-nuest,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011655890&doi=10.1045%2fjanuary2017-nuest&partnerID=40&md5=93e19d5c6aea46748ac05d196e1fa7f3","Institute for Geoinformatics, Münster, Germany; University and State Library, Münster, Germany","Nüst, D., Institute for Geoinformatics, Münster, Germany; Konkol, M., Institute for Geoinformatics, Münster, Germany; Schutzeichel, M., University and State Library, Münster, Germany; Pebesma, E., Institute for Geoinformatics, Münster, Germany; Kray, C., Institute for Geoinformatics, Münster, Germany; Przibytzin, H., University and State Library, Münster, Germany; Lorenz, J., University and State Library, Münster, Germany","A strong movement towards openness has seized science. Open data and methods, open source software, Open Access, open reviews, and open research platforms provide the legal and technical solutions to new forms of research and publishing. However, publishing reproducible research is still not common practice. Reasons include a lack of incentives and a missing standardized infrastructure for providing research material such as data sets and source code together with a scientific paper. Therefore we first study fundamentals and existing approaches. On that basis, our key contributions are the identification of core requirements of authors, readers, publishers, curators, as well as preservationists and the subsequent description of an executable research compendium (ERC). It is the main component of a publication process providing a new way to publish and access computational research. ERCs provide a new standardisable packaging mechanism which combines data, software, text, and a user interface description. We discuss the potential of ERCs and their challenges in the context of user requirements and the established publication processes. We conclude that ERCs provide a novel potential to find, explore, reuse, and archive computer-based research. © 2017 Daniel Nüst, Markus Konkol, Marc Schutzeichel, Edzer Pebesma, Chris Kray, Holger Przibytzin and Jörg Lorenz.","Computational Research; Containerization; ERC; Executable Research Compendium; Open Access; Research Data",Article,Scopus,2-s2.0-85011655890
"Mancebo F.P., Aleixandre-Benavent R., Blasco-Gil Y., Ferrer-Sapena A.","Open research data. The travelled way and pending issues [Datos abiertos de investigación. Camino recorrido y cuestiones]",2017,"Anales de Documentacion","20","1",,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016239795&partnerID=40&md5=8187dc54494743b235080d4a0bff13f2","Universidad Politécnica de Valencia, Spain; CSIC Ingenio-Universidad de Valencia, Spain; Universidad de Valencia, Spain","Mancebo, F.P., Universidad Politécnica de Valencia, Spain; Aleixandre-Benavent, R., CSIC Ingenio-Universidad de Valencia, Spain; Blasco-Gil, Y., Universidad de Valencia, Spain; Ferrer-Sapena, A., Universidad Politécnica de Valencia, Spain","The professional and technical aspects associated with the management of research data have advanced: technical infrastructures or descriptive metadata schemes. There are others, related with the research field, which are still under study due to the need now to make them available as open data. This paper makes a bibliographical review and reference web sites that allow to identify the latest advances and research trends on issues related with research data. Some of them need to be addressed urgently in our opinion and experience in this field: data publication in journals, study of the behaviour of authors and methods to measure the impact of the data. The aim of this work is to highlight the outstanding challenges in a moment when there is a disruptive change in its exchange given the amount of data available as open data.","Open data; Research data; Research methods; Scientific research",Article,Scopus,2-s2.0-85016239795
"Laman J.D., Kooistra S.M., Clausen B.E.","Reproducibility issues: Avoiding pitfalls in animal inflammation models",2017,"Methods in Molecular Biology","1559",,,"1","17",,1,10.1007/978-1-4939-6786-5_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009788344&doi=10.1007%2f978-1-4939-6786-5_1&partnerID=40&md5=58398284162512abcb2b9f0a0e3d8736","Section Medical Physiology, Department of Neuroscience, University of Groningen, University Medical Center Groningen, Antonius Deusinglaan 1, Groningen, Netherlands; Institute for Molecular Medicine, University Medical Center of the Johannes Gutenberg-University Mainz, Obere Zahlbacher Straße 67, Mainz, Germany","Laman, J.D., Section Medical Physiology, Department of Neuroscience, University of Groningen, University Medical Center Groningen, Antonius Deusinglaan 1, Groningen, Netherlands; Kooistra, S.M., Section Medical Physiology, Department of Neuroscience, University of Groningen, University Medical Center Groningen, Antonius Deusinglaan 1, Groningen, Netherlands; Clausen, B.E., Institute for Molecular Medicine, University Medical Center of the Johannes Gutenberg-University Mainz, Obere Zahlbacher Straße 67, Mainz, Germany","In light of an enhanced awareness of ethical questions and ever increasing costs when working with animals in biomedical research, there is a dedicated and sometimes fierce debate concerning the (lack of) reproducibility of animal models and their relevance for human inflammatory diseases. Despite evident advancements in searching for alternatives, that is, replacing, reducing, and refining animal experiments—the three R’s of Russel and Burch (1959)—understanding the complex interactions of the cells of the immune system, the nervous system and the affected tissue/organ during inflammation critically relies on in vivo models. Consequently, scientific advancement and ultimately novel therapeutic interventions depend on improving the reproducibility of animal inflammation models. As a prelude to the remaining hands-on protocols described in this volume, here, we summarize potential pitfalls of preclinical animal research and provide resources and background reading on how to avoid them. © Springer Science+Business Media LLC 2017.","Animal models; Immunity; Inflammation; Lymphocytes; Microbiome; Microbiota; Myeloid cells; Publication bias; Randomization; Repeatability; Replication; Reproducibility; Research assessment; Robustness; Statistics; Transgenic artifact",Book Chapter,Scopus,2-s2.0-85009788344
"Grimmelikhuijsen S., Jilke S., Olsen A.L., Tummers L.","Behavioral Public Administration: Combining Insights from Public Administration and Psychology",2017,"Public Administration Review","77","1",,"45","56",,,10.1111/puar.12609,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007360128&doi=10.1111%2fpuar.12609&partnerID=40&md5=0c29139239b8e6da27059a68cd4bcf3e","Utrecht University, Netherlands; Rutgers University–Newark, United States; University of Copenhagen, Denmark","Grimmelikhuijsen, S., Utrecht University, Netherlands; Jilke, S., Rutgers University–Newark, United States; Olsen, A.L., University of Copenhagen, Denmark; Tummers, L., Utrecht University, Netherlands","Behavioral public administration is the analysis of public administration from the micro-level perspective of individual behavior and attitudes by drawing on insights from psychology on the behavior of individuals and groups. The authors discuss how scholars in public administration currently draw on theories and methods from psychology and related fields and point to research in public administration that could benefit from further integration. An analysis of public administration topics through a psychological lens can be useful to confirm, add nuance to, or extend classical public administration theories. As such, behavioral public administration complements traditional public administration. Furthermore, it could be a two-way street for psychologists who want to test the external validity of their theories in a political-administrative setting. Finally, four principles are proposed to narrow the gap between public administration and psychology. © 2016 by The Authors. Public Administration Review published by Wiley Periodicals, Inc. on behalf of The American Society for Public Administration.",,Article,Scopus,2-s2.0-85007360128
"Björnmalm M., Faria M., Caruso F.","Advancing Research Using Action Cameras",2016,"Chemistry of Materials","28","23",,"8441","8442",,1,10.1021/acs.chemmater.6b04639,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006265396&doi=10.1021%2facs.chemmater.6b04639&partnerID=40&md5=e82fb2fb84346e4f2b4c79cd2d1b1266","ARC Centre of Excellence in Convergent Bio-Nano Science and Technology, Department of Chemical and Biomolecular Engineering, University of Melbourne, Parkville, VIC, Australia","Björnmalm, M., ARC Centre of Excellence in Convergent Bio-Nano Science and Technology, Department of Chemical and Biomolecular Engineering, University of Melbourne, Parkville, VIC, Australia; Faria, M., ARC Centre of Excellence in Convergent Bio-Nano Science and Technology, Department of Chemical and Biomolecular Engineering, University of Melbourne, Parkville, VIC, Australia; Caruso, F., ARC Centre of Excellence in Convergent Bio-Nano Science and Technology, Department of Chemical and Biomolecular Engineering, University of Melbourne, Parkville, VIC, Australia",[No abstract available],,Editorial,Scopus,2-s2.0-85006265396
"Stodden V., McNutt M., Bailey D.H., Deelman E., Gil Y., Hanson B., Heroux M.A., Ioannidis J.P.A., Taufer M.","Enhancing reproducibility for computational methods",2016,"Science","354","6317",,"1240","1241",,6,10.1126/science.aah6168,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002693425&doi=10.1126%2fscience.aah6168&partnerID=40&md5=e3d9901eaf1207177e70d82de51b8a00","University of Illinois at Urbana-Champaign, Champaign, IL, United States; National Academy of Sciences, Washington, DC, United States; University of California, Davis, CA, United States; University of Southern California, Los Angeles, CA, United States; American Geophysical Union, Washington, DC, United States; Sandia National Laboratories, Avon, MN, United States; Stanford University, Stanford, CA, United States; University of Delaware, Newark, DE, United States","Stodden, V., University of Illinois at Urbana-Champaign, Champaign, IL, United States; McNutt, M., National Academy of Sciences, Washington, DC, United States; Bailey, D.H., University of California, Davis, CA, United States; Deelman, E., University of Southern California, Los Angeles, CA, United States; Gil, Y., University of Southern California, Los Angeles, CA, United States; Hanson, B., American Geophysical Union, Washington, DC, United States; Heroux, M.A., Sandia National Laboratories, Avon, MN, United States; Ioannidis, J.P.A., Stanford University, Stanford, CA, United States; Taufer, M., University of Delaware, Newark, DE, United States",[No abstract available],,Review,Scopus,2-s2.0-85002693425
